	Device	Year	Latitude	Longitude	Feature	Depth top	Sample material	Biome	Region	Province	Season	Season period	SSD	PAR	SST	Fe	NH4	NO2	NO3	SSChla	Chl	Ssphi	POC	PIC	Bathy depth	SST	SSM	u	v	OW	MLE	RT	Age	Lat_plastic	Lon_plastic	Plastic_count
ERR3586700	High Volume Peristaltic Pump	2013	79.2233	66.3435	SRF	3.0	0.22-3	Polar Biome	Arctic Ocean	Boreal Polar Province	summer	early	1440.0	32.520447	1.2978415	0.00109338	0.000589373	0.003293654	6.750465393	0.418657913804054	124.7503	0.840592176	94.3193550109863	0.000457840054878	-440.0	1.0604					0.0	0.0	0.0	79.2	66.4	758.1308443201112
ERR3586701	Rosette Vertical Sampling System	2013	79.2026	66.4827	ZZZ	190.0	0.22-3	Polar Biome	Arctic Ocean	Boreal Polar Province	summer	early	1440.0	34.024166	1.3831645	0.00109338	0.000589373	0.003293654	6.750465393	0.452537566423416	33.7079	0.840592176	98.9045791625977	0.0004916979814879	-449.0	1.8938					0.0	0.0	0.0	79.2	66.4	758.1308443201112
ERR3586702	Rosette Vertical Sampling System	2013	79.3349	66.2954	MIX	10.0	0.22-3	Polar Biome	Arctic Ocean	Boreal Polar Province	summer	early	1440.0	31.991941	1.20875425	0.00109338	0.000589373	0.003293654	6.750465393	0.646695971488953	65.2634	0.840592176	117.250988006592	0.0006723504920955	-437.0	1.6875					0.0	0.0	0.0	79.4	66.2	762.7333457082023
ERR3586703	High Volume Peristaltic Pump	2013	77.1604	73.2057	SRF	3.0	0.22-3	Polar Biome	Arctic Ocean	Boreal Polar Province	summer	early	1440.0	37.769543	1.77841075	0.001328503	0.003428314	0.021517911	5.088556846	0.218093290925026	62.2831	0.344590684	64.0853691101074	0.00031943214708	-318.0	3.0358	0.00014182	5.564065	6.62396	-0.040917	0.0	0.0	0.0	77.2	73.2	425.5184837548279
ERR3586704	High Volume Peristaltic Pump	2013	74.8023	76.1478	SRF	3.0	0.22-3	Polar Biome	Arctic Ocean	Boreal Polar Province	summer	early	1440.0	43.46007	2.358553375	0.001387656	0.003474399	0.01667134	2.7429805	5.26425457000732	17.6348	0.034198148	1359.40734863281	0.0002453855995554	-32.0		4.0885e-05	6.149173	4.466754	0.010402	0.0	3.777778	0.0	74.8	76.2	47.84868473933769
ERR3586705	High Volume Peristaltic Pump	2013	74.8283	76.2096	DCM	28.0	0.22-3	Polar Biome	Arctic Ocean	Boreal Polar Province	summer	early	1440.0	42.77334	2.3403595	0.001387656	0.003474399	0.01667134	2.7429805	4.48765563964844	17.6348	0.034198148	1180.78985595703	0.0003109929093625	-32.0		4.0885e-05	6.149173	4.466754	0.010402	0.0	3.777778	0.0	74.8	76.2	47.84868473933769
ERR3586706	High Volume Peristaltic Pump	2013	78.2518	91.8557	SRF	3.0	0.22-3	Polar Biome	Arctic Ocean	Boreal Polar Province	summer	middle	1440.0		0.18057625	0.001304139	0.002257904	0.010750825	4.442976594		16.1385				-33.0	2.8604	8.592e-06	-0.818284	-1.192273	-0.072783	0.0	0.0	0.0	78.2	91.80000000000001	198.93194112132258
ERR3586707	High Volume Peristaltic Pump	2013	78.3555	91.6084	DCM	15.0	0.22-3	Polar Biome	Arctic Ocean	Boreal Polar Province	summer	middle	1440.0		0.193303	0.001304139	0.002257904	0.010750825	4.442976594		16.1385				-33.0	2.8604	8.592e-06	-0.818284	-1.192273	-0.072783	0.0	0.0	0.0	78.4	91.60000000000001	227.4979990854669
ERR3586708	High Volume Peristaltic Pump	2013	54.5305	-16.9377	SRF	3.0	0.22-3	Westerlies Biome	North Atlantic Ocean	North Atlantic Drift Province	spring	early	993.0	41.846096	11.18222425	0.000426156	0.007189205	0.010129768	0.689068984	0.162585288286209	74.1214	1.129544819	51.8979625701904	0.0001854351939982	-2484.0	0.54836	5.675e-06	17.976264	13.121108	0.157922	0.101888	0.0	57.0	54.6	-17.0	1000.0825864143816
ERR3586709	High Volume Peristaltic Pump	2013	54.5451	-16.7943	DCM	38.0	0.22-3	Westerlies Biome	North Atlantic Ocean	North Atlantic Drift Province	spring	late	996.0	43.13879	11.56653625	0.000426156	0.007189205	0.010129768	0.689068984	0.178155340254307	61.7749	1.129544819	55.8119258880615	0.0001847059102146	-2387.0	0.28477	4.773e-05	17.976264	13.121108	0.157922	0.101888	0.0	57.0	54.6	-16.799999999999955	1078.8973461320795
ERR3586710	High Volume Peristaltic Pump	2013	67.141	0.2355	SRF	3.0	0.22-3	Polar Biome	Arctic Ocean	Atlantic Arctic Province	spring	late	1440.0	27.483475	4.84735	0.000599484	0.023701385	0.03278591	5.405942082	0.548190623521805	45.8727		114.963180541992	0.000797054497525	-3336.0	0.2687	3.737e-06	-0.19002	11.79387	0.189385	0.121118	0.0	120.0	67.2	0.2	1892.4769996288276
ERR3586711	High Volume Peristaltic Pump	2013	67.161	0.3964	DCM	23.0	0.22-3	Polar Biome	Arctic Ocean	Atlantic Arctic Province	spring	late	1440.0	28.931364	6.73897525	0.000599484	0.023701385	0.03278591	5.405942082	0.5363889336586	46.1766		113.419288635254	0.0007746425108052	-3412.0	1.4377	3.802e-05	-0.19002	11.79387	0.189385	0.121118	0.0	120.0	67.2	0.4	1977.9643336775168
ERR3586712	High Volume Peristaltic Pump	2013	76.1825	1.3918	SRF	3.0	0.22-3	Polar Biome	Arctic Ocean	Boreal Polar Province	spring	late	1440.0	33.79629	2.129203	0.000874157	0.014557052	0.018939177	11.743258	7.6509699821472195	109.6568	0.661765183	364.109283447266	0.0004629973263945	-3083.0	0.38918	7.7789e-05	4.477771	-4.544907	-0.007624	0.058176	3.277778	120.0	76.2	1.4000000000000001	1187.9724137850908
ERR3586713	Rosette Vertical Sampling System	2013	76.1246	1.3648	MES	490.0	0.22-3	Polar Biome	Arctic Ocean	Boreal Polar Province	spring	late	1440.0	41.271267	1.93579225	0.000874157	0.014557052	0.018939177	11.743258	4.83516192436218	149.8624	0.661765183	293.113128662109	0.0004221774142934	-2937.0	1.1058	5.8743e-05	4.477771	-4.544907	-0.007624	0.058176	3.277778	120.0	76.2	1.4000000000000001	1187.9724137850908
ERR3586714	High Volume Peristaltic Pump	2013	69.1136	-51.5086	SRF	3.0	0.22-3	Polar Biome	Arctic Ocean	Boreal Polar Province	autumn	early	508.0	3.809503	2.562271	0.000453137	0.020453628	0.259672788	0.480761975		30.485				-344.0	1.5239		0.367103	4.62578	-0.016382	0.0	0.0	0.0	69.2	-51.599999999999966	42.21775581542776
ERR3586715	High Volume Peristaltic Pump	2013	67.141	0.2355	SRF	3.0	0.22-3	Polar Biome	Arctic Ocean	Atlantic Arctic Province	spring	late	1440.0	27.483475	4.84735	0.000599484	0.023701385	0.03278591	5.405942082	0.548190623521805	45.8727		114.963180541992	0.000797054497525	-3336.0	0.2687	3.737e-06	-0.19002	11.79387	0.189385	0.121118	0.0	120.0	67.2	0.2	1892.4769996288276
ERR3586716	High Volume Peristaltic Pump	2013	67.161	0.3964	DCM	23.0	0.22-3	Polar Biome	Arctic Ocean	Atlantic Arctic Province	spring	late	1440.0	28.931364	6.73897525	0.000599484	0.023701385	0.03278591	5.405942082	0.5363889336586	46.1766		113.419288635254	0.0007746425108052	-3412.0	1.4377	3.802e-05	-0.19002	11.79387	0.189385	0.121118	0.0	120.0	67.2	0.4	1977.9643336775168
ERR3586717	High Volume Peristaltic Pump	2013	76.1825	1.3918	SRF	3.0	0.22-3	Polar Biome	Arctic Ocean	Boreal Polar Province	spring	late	1440.0	33.79629	2.129203	0.000874157	0.014557052	0.018939177	11.743258	7.6509699821472195	109.6568	0.661765183	364.109283447266	0.0004629973263945	-3083.0	0.38918	7.7789e-05	4.477771	-4.544907	-0.007624	0.058176	3.277778	120.0	76.2	1.4000000000000001	1187.9724137850908
ERR3586718	High Volume Peristaltic Pump	2013	72.5432	44.102	DCM	38.0	0.22-3	Polar Biome	Arctic Ocean	Boreal Polar Province	summer	early	1440.0	42.681683	8.02670725	0.000430005	0.006979311	0.001609991	0.041430494	0.594193935394287	40.8031	0.457819243	119.863594055176	0.0005779544881079	-268.0	0.92917	1.59e-06	2.081364	-0.467256	-0.011538	0.011037	1.222222	0.0	72.6	44.2	952.3758073643481
ERR3586719	High Volume Peristaltic Pump	2013	78.9354	79.0604	DCM	33.0	0.22-3	Polar Biome	Arctic Ocean	Boreal Polar Province	summer	early	1440.0	43.826546	1.117516	0.001215531	0.004081616	0.020618707	6.240898371	0.322431653738022	85.1855	0.233046579	81.8241729736328	0.0003604011726565	-87.0	0.84307	4.658e-05	2.7071	2.341202		0.0	4.833333	0.0	79.0	79.0	952.347151299248
ERR3586720	High Volume Peristaltic Pump	2013	79.2233	66.3435	SRF	3.0	0.22-3	Polar Biome	Arctic Ocean	Boreal Polar Province	summer	early	1440.0	32.520447	1.2978415	0.00109338	0.000589373	0.003293654	6.750465393	0.418657913804054	124.7503	0.840592176	94.3193550109863	0.000457840054878	-440.0	1.0604					0.0	0.0	0.0	79.2	66.4	758.1308443201112
ERR3586721	High Volume Peristaltic Pump	2013	77.1604	73.2057	SRF	3.0	0.22-3	Polar Biome	Arctic Ocean	Boreal Polar Province	summer	early	1440.0	37.769543	1.77841075	0.001328503	0.003428314	0.021517911	5.088556846	0.218093290925026	62.2831	0.344590684	64.0853691101074	0.00031943214708	-318.0	3.0358	0.00014182	5.564065	6.62396	-0.040917	0.0	0.0	0.0	77.2	73.2	425.5184837548279
ERR3586722	High Volume Peristaltic Pump	2013	74.8023	76.1478	SRF	3.0	0.22-3	Polar Biome	Arctic Ocean	Boreal Polar Province	summer	early	1440.0	43.46007	2.358553375	0.001387656	0.003474399	0.01667134	2.7429805	5.26425457000732	17.6348	0.034198148	1359.40734863281	0.0002453855995554	-32.0		4.0885e-05	6.149173	4.466754	0.010402	0.0	3.777778	0.0	74.8	76.2	47.84868473933769
ERR3586723	High Volume Peristaltic Pump	2013	74.8283	76.2096	DCM	28.0	0.22-3	Polar Biome	Arctic Ocean	Boreal Polar Province	summer	early	1440.0	42.77334	2.3403595	0.001387656	0.003474399	0.01667134	2.7429805	4.48765563964844	17.6348	0.034198148	1180.78985595703	0.0003109929093625	-32.0		4.0885e-05	6.149173	4.466754	0.010402	0.0	3.777778	0.0	74.8	76.2	47.84868473933769
