	PHB	PHA	PHO	PCL	PVA	PU	PPL	P3HP	P4HB	PEA	PES	O-PVA	PBS	PLA	P(3HB-co-3MP)	PEG	PHBV	PHPV	Nylon	PBSA	PET	PE	PBS-Blend	PBSA-Blend	P3HV	PBAT	PEF	PMCL	LDPE	PS	NR
ERR3586957	5.790627588510518	9.667403685903153	0.0	7.36096727353032	0.5888773818824256	16.243201116923572	0.09814623031373759	0.09814623031373759	0.09814623031373759	0.09814623031373759	1.962924606274752	0.0	0.8342429576667696	24.19304577233632	0.0	468.64824974809704	3.8767760973926353	0.0	3.484191176137685	3.582337406451422	22.47548674184591	0.09814623031373759	0.0	0.0	2.6008751033140465	29.738307785062492	0.1472193454706064	0.0	0.736096727353032	0.245365575784344	1.9138514911178832
ERR3586958	23.304640023488215	29.459034395888274	0.0	9.847030995840091	0.7385273246880069	9.436738037680087	0.0	0.16411718326400151	0.16411718326400151	0.16411718326400151	3.2002850736480295	0.0	0.6564687330560061	15.180839451920141	0.0	221.14790444824206	6.154394372400057	0.0	2.2155819740640204	9.108503671152084	17.888772975776167	0.9847030995840091	0.0	0.0	3.774695215072035	15.673191001712146	0.0	0.2461757748960023	3.774695215072035	2.707933523856025	0.0
ERR3586959	4.637483459423014	7.419973535076822	0.0	3.7872781585287947	0.5410397369326849	3.709986767538411	0.0	0.46374834594230135	0.46374834594230135	0.46374834594230135	2.0095761657499724	0.0	0.5410397369326849	12.366622558461371	0.0	259.77636511867917	2.7824900756538082	0.0	6.95622518913452	4.637483459423014	7.883721881019124	0.0	0.0	0.0	1.777701992778822	12.984953686384438	0.0	0.0	2.627907293673041	3.014364248624959	0.0
ERR3586960	62.89576965954548	73.31925757914576	0.0	6.076671680788245	0.0	6.653290161446983	0.0	0.0	0.0	0.0	0.8427500871166179	0.0	0.2661316064578793	24.26233145541	0.0	204.61085009836623	10.423487919600273	0.0	9.669448367969617	10.822685329287093	13.572711929351845	0.0	0.0	0.0	9.580737832483656	35.26243785566901	0.22177633871489943	0.0	14.193685677753564	28.165595016792228	0.0
ERR3586961	7.486136133116593	12.562941096954283	0.0	4.08725823359814	0.08604754175996084	10.971061574395007	0.0	0.0	0.0	0.0	2.1942123148790014	0.0	0.2151188543999021	20.39326739711072	0.0	355.8065851774381	5.07680496383769	0.0	6.109375464957219	5.420995130877533	20.52233870975066	0.3872139379198238	0.0	0.0	3.0977115033585902	21.16769527295037	0.0	0.0	1.634903293439256	3.786091837438277	0.0
ERR3586962	13.031856076790977	17.948636940928232	0.0	1.813957988710832	1.7184865156207882	5.394138229587474	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.556949178786217	0.0	190.89521044354257	4.916780864137255	0.0	2.9596156657913575	4.105273342871883	16.802979263847707	0.0	0.0	0.0	4.916780864137255	18.091844150563297	0.0	0.0	2.5777297734311824	9.881297464819532	0.7160360481753284
ERR3586963	27.382453320338602	41.9188174286665	0.048293568466205646	15.88858402538166	0.8692842323917017	10.914346473362476	0.24146784233102825	0.24146784233102825	0.24146784233102825	0.24146784233102825	6.66451244833638	0.0	1.400513485519964	39.117790457626576	0.14488070539861694	217.32105809792543	14.488070539861695	0.0	5.795228215944678	19.17254668108364	16.85445539470577	1.0141649377903186	0.0	0.0	8.692842323917017	23.32579356917733	0.7244035269930847	0.0	12.508034232747264	0.43464211619585086	0.5312292531282621
ERR3586964	17.36631585053977	23.384346095776323	0.0	1.6334653522784932	0.8167326761392466	3.5678322168188137	0.04298593032311824	0.08597186064623648	0.08597186064623648	0.08597186064623648	0.3868733729080642	0.0	0.12895779096935472	8.726143855593003	0.04298593032311824	172.02969315311918	6.061016175559672	0.0	4.64248047489677	3.3529025652032227	8.640171994946765	3.9117196594037598	0.0	0.0	5.803100593620963	6.963720712345155	0.04298593032311824	0.0	1.8913809342172025	0.30090151226182765	0.12895779096935472
ERR3586965	3.2354104720137644	10.592117616711729	0.0	2.1569403146758432	0.0	3.4279944286812505	0.0	0.0	0.0	0.0	2.1569403146758432	0.0	0.0	14.328246376060957	0.0	200.05621418618443	7.356707144697965	0.0	0.7703358266699439	8.589244467369875	14.751931080729426	0.0	0.0	0.0	5.199766830022122	22.64787330409635	0.0	0.0	0.0	0.0	0.0
ERR3586966	54.71017506978448	82.31673940530392	0.0	3.7442101426716654	4.191280010453356	3.9118613430897997	0.055883733472711423	0.2794186673635571	0.2794186673635571	0.2794186673635571	1.732395737654054	0.0	0.33530240083626855	20.397562717539667	0.0	148.87426597130323	27.718331802464864	0.0	6.9854666840889275	11.623816562323976	18.273980845576634	51.357151061421796	0.0	0.0	26.209470998701658	19.95049284975798	0.0	0.0	10.394374425924324	1.2853258698723626	0.16765120041813428
